Season,Regular Season,Tournament
1997,Texas Tech,Oklahoma
1998,Texas A&M,Texas Tech
1999,Texas A&M,Nebraska
2000,Baylor,Nebraska
2001,Nebraska,Nebraska
2002,Texas,Texas
2003,Nebraska,Texas
2004,Texas,Oklahoma State
2005,Baylor†,Nebraska
2006,Texas,Kansas
2007,Texas,Texas A&M
2008,Texas A&M,Texas
2009,Texas,Texas
2010,Texas,Texas A&M
2011,Texas†,Texas A&M
2012,Baylor,Missouri
2013,Kansas State,Oklahoma
2014,Oklahoma State,TCU
2015,TCU,Texas
2016,Texas Tech,TCU
2017,TCU†,Oklahoma State
2018,Texas,Baylor
2019,Texas Tech,Oklahoma State
2021,TCU†,TCU
2022,TCU,Oklahoma
2023,Oklahoma State†,TCU
