Season,Indoor Champion,Outdoor Champion
1997,Nebraska,Texas
1998,Texas,Texas
1999,Texas,Texas
2000,Nebraska,Nebraska
2001,Nebraska,Kansas State
2002,Texas,Kansas State
2003,Texas,Texas
2004,Nebraska,Texas
2005,Nebraska,Nebraska
2006,Texas,Texas
2007,Texas A&M,Texas A&M
2008,Texas A&M,Texas A&M
2009,Texas A&M,Texas A&M
2010,Texas A&M,Texas A&M
2011,Nebraska,Texas A&M
2012,Texas A&M,Texas
2013,Kansas,Kansas
2014,Texas,Texas
2015,Texas,Texas
2016,Texas,Texas
2017,Baylor,Kansas State
2018,Texas,Kansas State
2019,Texas,Texas
2020,Texas,
2021,Texas,Texas
2022,Texas,Texas
2023,Oklahoma State,Texas
