Season,Regular Season,Tournament
1996,Oklahoma,Oklahoma
1997,Missouri,Missouri
1998,Nebraska,Nebraska
1999,Oklahoma,Texas
2000,Oklahoma,Nebraska
2001,Nebraska,Oklahoma
2002,Texas,Texas
2003,Texas,Texas
2004,Nebraska,Nebraska
2005,Texas A&M,Texas
2006,Texas,Kansas
2007,Baylor,Oklahoma
2008,Texas A&M,Texas A&M
2009,Oklahoma,Missouri
2010,Texas,Oklahoma
2011,Missouri,—
2012,Oklahoma,—
2013,Oklahoma,—
2014,Oklahoma,—
2015,Oklahoma,—
2016,Oklahoma,—
2017,Oklahoma,Oklahoma
2018,Oklahoma,Oklahoma
2019,Oklahoma,—[a]
2021,Oklahoma,Oklahoma
2022,Oklahoma,Oklahoma State
2023,Oklahoma,Oklahoma
