Season,Regular Season,Tournament
1997,Kansas,Colorado
1998,Texas Tech,Texas Tech
1999,Texas Tech,Texas Tech
2000,Iowa State†,Iowa State
2001,Oklahoma,Iowa State
2002,Oklahoma,Oklahoma
2003,Texas,Texas
2004,Texas†,Oklahoma
2005,Baylor,Baylor
2006,Oklahoma,Oklahoma
2007,Oklahoma†,Oklahoma
2008,Kansas State,Texas A&M
2009,Oklahoma,Baylor
2010,Nebraska,Texas A&M
2011,Baylor,Baylor
2012,Baylor,Baylor
2013,Baylor,Baylor
2014,Baylor†,Baylor
2015,Baylor,Baylor
2016,Baylor,Baylor
2017,Baylor,West Virginia
2018,Baylor,Baylor
2019,Baylor,Baylor
2020,Baylor,
2021,Baylor,Baylor
2022,Baylor,Texas
2023,Texas†,Iowa State
