Season,Regular Season,Tournament
1996,Nebraska,Nebraska
1997,Texas A&M,Texas A&M
1998,Baylor,Nebraska
1999,Nebraska,Nebraska
2000,Nebraska,Nebraska
2001,Texas,Texas A&M
2002,Texas A&M,Nebraska
2003,Colorado,Oklahoma State
2004,Kansas†,Texas A&M
2005,Texas A&M,Texas A&M
2006,Texas A&M,Texas
2007,Texas A&M,Texas
2008,Oklahoma State,Missouri
2009,Missouri,Oklahoma State
2010,Texas A&M,Oklahoma State
2011,Oklahoma State,Texas A&M
2012,West Virginia,Baylor
2013,West Virginia,West Virginia
2014,West Virginia,West Virginia
2015,West Virginia,Texas Tech
2016,West Virginia,West Virginia
2017,Oklahoma State,Baylor
2018,Baylor,West Virginia
2019,Oklahoma State,Kansas
2020,TCU,
2021,TCU,TCU
2022,Texas,West Virginia
