Season,Regular Season,Tournament
1997,—,Oklahoma State
1998,—,Oklahoma State
1999,—,Oklahoma
2000,—,Oklahoma State
2001,—,Oklahoma State
2002,—,Oklahoma
2003,—,Oklahoma State
2004,—,Oklahoma State
2005,—,Oklahoma State
2006,—,Oklahoma State
2007,—,Iowa State
2008,—,Iowa State
2009,—,Iowa State†
2010,—,Oklahoma State
2011,—,Oklahoma State
2012,Oklahoma State,Missouri
2013,Oklahoma State,Oklahoma State
2014,—,Oklahoma State
2015,—,Oklahoma State
2016,—,Oklahoma State
2017,—,Oklahoma State
2018,—,Oklahoma State
2019,—,Oklahoma State
2020,—,Oklahoma State
2021,—,Oklahoma†
2022,—,Missouri
2023,—,Missouri
